Date/Time,AHU1 WIN NW OFFICE 1:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),AHU2 WIN NE BREAK ROOM:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),AHU3 WIN SE OFFICE 2:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),AHU3 WIN SW OFFICE:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly) ,,NW,NE,SE,SW
 01/04  22:00:00,0,0,0,0,,0,0,0,0
 01/04  23:00:00,0,0,0,0,,0,0,0,0
 01/04  24:00:00,0,0,0,0,,0,0,0,0
 01/05  01:00:00,0,0,0,0,,0,0,0,0
 01/05  02:00:00,0,0,0,0,,0,0,0,0
 01/05  03:00:00,0,0,0,0,,0,0,0,0
 01/05  04:00:00,0,0,0,0,,0,0,0,0
 01/05  05:00:00,0,0,0,0,,0,0,0,0
 01/05  06:00:00,0,0,0,0,,0,0,0,0
 01/05  07:00:00,0,0,0,0,,0,0,0,0
 01/05  08:00:00,0,0.564019,1.982881267,0,,0,0,0,0
 01/05  09:00:00,0,11.87374518,86.44579193,0,,0,0,1,0
 01/05  10:00:00,0,9.276380883,415.4981728,9.487668832,,0,0,1,0
 01/05  11:00:00,0,0,437.6129039,81.07849919,,0,0,1,1
 01/05  12:00:00,0,0,177.8747979,79.6189008,,0,0,1,1
 01/05  13:00:00,0,0,41.50868655,42.59944529,,0,0,0,0
 01/05  14:00:00,0,0,17.03384235,42.45150308,,0,0,0,0
 01/05  15:00:00,0,0,6.249757014,39.48201006,,0,0,0,0
 01/05  16:00:00,0.481694383,0,9.17E-02,9.521381386,,0,0,0,0
 01/05  17:00:00,5.438145603,0,0,26.652938,,0,0,0,0
 01/05  18:00:00,2.582112318,0,0,8.250487244,,0,0,0,0
 01/05  19:00:00,0,0,0,0,,0,0,0,0
 01/05  20:00:00,0,0,0,0,,0,0,0,0
 01/05  21:00:00,0,0,0,0,,0,0,0,0
 01/05  22:00:00,0,0,0,0,,0,0,0,0
 01/05  23:00:00,0,0,0,0,,0,0,0,0
 01/05  24:00:00,0,0,0,0,,0,0,0,0
 01/06  01:00:00,0,0,0,0,,0,0,0,0
 01/06  02:00:00,0,0,0,0,,0,0,0,0
 01/06  03:00:00,0,0,0,0,,0,0,0,0
 01/06  04:00:00,0,0,0,0,,0,0,0,0
 01/06  05:00:00,0,0,0,0,,0,0,0,0
 01/06  06:00:00,0,0,0,0,,0,0,0,0
 01/06  07:00:00,0,0,0,0,,0,0,0,0
 01/06  08:00:00,0,10.42354502,36.18803293,0,,0,0,0,0
 01/06  09:00:00,0,28.21472341,156.2811748,0,,0,0,1,0
 01/06  10:00:00,0,2.944067025,88.85363191,1.435238368,,0,0,1,0
 01/06  11:00:00,0,0,51.7912869,9.745373904,,0,0,1,0
 01/06  12:00:00,0,0,60.21434077,31.18130319,,0,0,1,0
 01/06  13:00:00,0,0,102.1924387,113.4607061,,0,0,1,1
 01/06  14:00:00,0,0,68.10470307,174.86662,,0,0,1,1
 01/06  15:00:00,0,0,38.33957255,249.2344022,,0,0,0,1
 01/06  16:00:00,1.656529647,0,0.700429853,59.02217549,,0,0,0,1
 01/06  17:00:00,7.358802175,0,0,36.96524892,,0,0,0,0
 01/06  18:00:00,3.671561543,0,0,11.43084943,,0,0,0,0
 01/06  19:00:00,0,0,0,0,,0,0,0,0
 01/06  20:00:00,0,0,0,0,,0,0,0,0
 01/06  21:00:00,0,0,0,0,,0,0,0,0
 01/06  22:00:00,0,0,0,0,,0,0,0,0
 01/06  23:00:00,0,0,0,0,,0,0,0,0
 01/06  24:00:00,0,0,0,0,,0,0,0,0
 01/07  01:00:00,0,0,0,0,,0,0,0,0
 01/07  02:00:00,0,0,0,0,,0,0,0,0
 01/07  03:00:00,0,0,0,0,,0,0,0,0
 01/07  04:00:00,0,0,0,0,,0,0,0,0
 01/07  05:00:00,0,0,0,0,,0,0,0,0
 01/07  06:00:00,0,0,0,0,,0,0,0,0
 01/07  07:00:00,0,0,0,0,,0,0,0,0
 01/07  08:00:00,0,10.06039351,32.54871923,0,,0,0,0,0
 01/07  09:00:00,0,9.836674886,53.649967,0,,0,0,1,0
 01/07  10:00:00,0,0.952427351,31.08568162,0.584853545,,0,0,0,0
 01/07  11:00:00,0,0,88.44086296,21.02357957,,0,0,1,0
 01/07  12:00:00,0,0,268.1627969,127.6615838,,0,0,1,1
 01/07  13:00:00,0,0,103.6040277,107.3019096,,0,0,1,1
 01/07  14:00:00,0,0,27.56577826,64.25564477,,0,0,0,1
 01/07  15:00:00,0,0,1.556446318,6.957577206,,0,0,0,0
 01/07  16:00:00,0,0,0,0,,0,0,0,0
 01/07  17:00:00,0,0,0,0,,0,0,0,0
 01/07  18:00:00,0,0,0,0,,0,0,0,0
 01/07  19:00:00,0,0,0,0,,0,0,0,0
 01/07  20:00:00,0,0,0,0,,0,0,0,0
 01/07  21:00:00,0,0,0,0,,0,0,0,0
 01/07  22:00:00,0,0,0,0,,0,0,0,0
 01/07  23:00:00,0,0,0,0,,0,0,0,0
 01/07  24:00:00,0,0,0,0,,0,0,0,0
 01/08  01:00:00,0,0,0,0,,0,0,0,0
 01/08  02:00:00,0,0,0,0,,0,0,0,0
 01/08  03:00:00,0,0,0,0,,0,0,0,0
 01/08  04:00:00,0,0,0,0,,0,0,0,0
 01/08  05:00:00,0,0,0,0,,0,0,0,0
 01/08  06:00:00,0,0,0,0,,0,0,0,0
 01/08  07:00:00,0,0,0,0,,0,0,0,0
 01/08  08:00:00,0,35.64761266,119.3029233,0,,0,0,1,0
 01/08  09:00:00,0,70.41219891,401.6945521,0,,0,1,1,0
 01/08  10:00:00,0,12.35946388,425.6321443,7.480296815,,0,0,1,0
 01/08  11:00:00,0,0,276.5585045,53.12406395,,0,0,1,1
 01/08  12:00:00,0,0,305.5382736,148.8976298,,0,0,1,1
 01/08  13:00:00,0,0,261.6735263,285.5135648,,0,0,1,1
 01/08  14:00:00,0,0,143.5008053,359.9883569,,0,0,1,1
 01/08  15:00:00,0,0,63.70420226,431.8383164,,0,0,1,1
 01/08  16:00:00,16.89582403,0,2.165844162,377.4798726,,0,0,0,1
 01/08  17:00:00,52.07530655,0,0,267.160493,,1,0,0,1
 01/08  18:00:00,17.85839492,0,0,56.35158638,,0,0,0,1
 01/08  19:00:00,0,0,0,0,,0,0,0,0
 01/08  20:00:00,0,0,0,0,,0,0,0,0
 01/08  21:00:00,0,0,0,0,,0,0,0,0
 01/08  22:00:00,0,0,0,0,,0,0,0,0
 01/08  23:00:00,0,0,0,0,,0,0,0,0
 01/08  24:00:00,0,0,0,0,,0,0,0,0
 01/09  01:00:00,0,0,0,0,,0,0,0,0
 01/09  02:00:00,0,0,0,0,,0,0,0,0
 01/09  03:00:00,0,0,0,0,,0,0,0,0
 01/09  04:00:00,0,0,0,0,,0,0,0,0
 01/09  05:00:00,0,0,0,0,,0,0,0,0
 01/09  06:00:00,0,0,0,0,,0,0,0,0
 01/09  07:00:00,0,0,0,0,,0,0,0,0
 01/09  08:00:00,0,55.69801076,182.8572768,0,,0,1,1,0
 01/09  09:00:00,0,81.42308619,462.6429821,0,,0,1,1,0
 01/09  10:00:00,0,14.13111524,537.6830083,11.12087377,,0,0,1,0
 01/09  11:00:00,0,0,540.4371103,103.7481307,,0,0,1,1
 01/09  12:00:00,0,0,461.1080457,220.7834426,,0,0,1,1
 01/09  13:00:00,0,0,336.2409432,367.2803586,,0,0,1,1
 01/09  14:00:00,0,0,197.6049228,494.3788426,,0,0,1,1
 01/09  15:00:00,0,0,81.83970624,565.7990536,,0,0,1,1
 01/09  16:00:00,31.9133681,0,3.396660344,672.4182879,,0,0,0,1
 01/09  17:00:00,115.1095107,0,0,580.2238244,,1,0,0,1
 01/09  18:00:00,68.8641345,0,0,213.0154686,,1,0,0,1
 01/09  19:00:00,0,0,0,0,,0,0,0,0
 01/09  20:00:00,0,0,0,0,,0,0,0,0
 01/09  21:00:00,0,0,0,0,,0,0,0,0
 01/09  22:00:00,0,0,0,0,,0,0,0,0
 01/09  23:00:00,0,0,0,0,,0,0,0,0
 01/09  24:00:00,0,0,0,0,,0,0,0,0
 01/10  01:00:00,0,0,0,0,,0,0,0,0
 01/10  02:00:00,0,0,0,0,,0,0,0,0
 01/10  03:00:00,0,0,0,0,,0,0,0,0
 01/10  04:00:00,0,0,0,0,,0,0,0,0
 01/10  05:00:00,0,0,0,0,,0,0,0,0
 01/10  06:00:00,0,0,0,0,,0,0,0,0
 01/10  07:00:00,0,0,0,0,,0,0,0,0
 01/10  08:00:00,0,44.0430588,146.0745193,0,,0,0,1,0
 01/10  09:00:00,0,77.36220354,442.6029204,0,,0,1,1,0
 01/10  10:00:00,0,14.27314792,540.3921158,11.00101934,,0,0,1,0
 01/10  11:00:00,0,0,512.1535665,97.85173002,,0,0,1,1
 01/10  12:00:00,0,0,400.3968413,188.6694546,,0,0,1,1
 01/10  13:00:00,0,0,202.1971247,213.1134751,,0,0,1,1
 01/10  14:00:00,0,0,69.38104828,174.8263424,,0,0,1,1
 01/10  15:00:00,0,0,40.93179673,274.625113,,0,0,0,1
 01/10  16:00:00,8.522169129,0,1.09608991,177.8574762,,0,0,0,1
 01/10  17:00:00,42.90605494,0,0,216.6182271,,0,0,0,1
 01/10  18:00:00,12.38855732,0,0,39.57280583,,0,0,0,0
 01/10  19:00:00,0,0,0,0,,0,0,0,0
 01/10  20:00:00,0,0,0,0,,0,0,0,0
 01/10  21:00:00,0,0,0,0,,0,0,0,0
 01/10  22:00:00,0,0,0,0,,0,0,0,0
 01/10  23:00:00,0,0,0,0,,0,0,0,0
 01/10  24:00:00,0,0,0,0,,0,0,0,0
 01/11  01:00:00,0,0,0,0,,0,0,0,0
 01/11  02:00:00,0,0,0,0,,0,0,0,0
 01/11  03:00:00,0,0,0,0,,0,0,0,0
 01/11  04:00:00,0,0,0,0,,0,0,0,0
 01/11  05:00:00,0,0,0,0,,0,0,0,0
 01/11  06:00:00,0,0,0,0,,0,0,0,0
 01/11  07:00:00,0,0,0,0,,0,0,0,0
 01/11  08:00:00,0,49.72161871,161.3892237,0,,0,0,1,0
 01/11  09:00:00,0,59.98480977,343.6447468,0,,0,1,1,0
 01/11  10:00:00,0,11.87211237,454.4429711,9.258692678,,0,0,1,0
 01/11  11:00:00,0,0,407.9108586,76.70622237,,0,0,1,1
 01/11  12:00:00,0,0,258.6849323,120.9835518,,0,0,1,1
 01/11  13:00:00,0,0,139.5657957,151.4892381,,0,0,1,1
 01/11  14:00:00,0,0,77.10529328,187.382809,,0,0,1,1
 01/11  15:00:00,0,0,12.86695491,79.22647508,,0,0,0,1
 01/11  16:00:00,3.781981724,0,0.334948958,71.55954544,,0,0,0,1
 01/11  17:00:00,21.10966268,0,0,104.498046,,0,0,0,1
 01/11  18:00:00,14.37493701,0,0,44.36235737,,0,0,0,0
 01/11  19:00:00,0,0,0,0,,0,0,0,0
 01/11  20:00:00,0,0,0,0,,0,0,0,0
 01/11  21:00:00,0,0,0,0,,0,0,0,0
 01/11  22:00:00,0,0,0,0,,0,0,0,0
 01/11  23:00:00,0,0,0,0,,0,0,0,0
 01/11  24:00:00,0,0,0,0,,0,0,0,0
 01/12  01:00:00,0,0,0,0,,0,0,0,0
 01/12  02:00:00,0,0,0,0,,0,0,0,0
 01/12  03:00:00,0,0,0,0,,0,0,0,0
 01/12  04:00:00,0,0,0,0,,0,0,0,0
 01/12  05:00:00,0,0,0,0,,0,0,0,0
 01/12  06:00:00,0,0,0,0,,0,0,0,0
 01/12  07:00:00,0,0,0,0,,0,0,0,0
 01/12  08:00:00,0,60.62257074,197.4265265,0,,0,1,1,0
 01/12  09:00:00,0,78.71893291,451.7608425,0,,0,1,1,0
 01/12  10:00:00,0,15.70821781,596.4121227,11.99987909,,0,0,1,0
 01/12  11:00:00,0,0,522.530429,98.53685454,,0,0,1,1
 01/12  12:00:00,0,0,360.8001896,170.4001128,,0,0,1,1
 01/12  13:00:00,0,0,230.5306237,252.627313,,0,0,1,1
 01/12  14:00:00,0,0,154.472862,389.9268175,,0,0,1,1
 01/12  15:00:00,0,0,69.0080709,471.6075701,,0,0,1,1
 01/12  16:00:00,21.60380356,0,2.550611886,470.177233,,0,0,0,1
 01/12  17:00:00,70.86731656,0,0,361.086441,,1,0,0,1
 01/12  18:00:00,31.08824466,0,0,97.11234499,,0,0,0,1
 01/12  19:00:00,0,0,0,0,,0,0,0,0
 01/12  20:00:00,0,0,0,0,,0,0,0,0
 01/12  21:00:00,0,0,0,0,,0,0,0,0
 01/12  22:00:00,0,0,0,0,,0,0,0,0
 01/12  23:00:00,0,0,0,0,,0,0,0,0
 01/12  24:00:00,0,0,0,0,,0,0,0,0
 01/13  01:00:00,0,0,0,0,,0,0,0,0
 01/13  02:00:00,0,0,0,0,,0,0,0,0
 01/13  03:00:00,0,0,0,0,,0,0,0,0
 01/13  04:00:00,0,0,0,0,,0,0,0,0
 01/13  05:00:00,0,0,0,0,,0,0,0,0
 01/13  06:00:00,0,0,0,0,,0,0,0,0
 01/13  07:00:00,0,0,0,0,,0,0,0,0
 01/13  08:00:00,0,51.72266136,170.0246225,0,,0,1,1,0
 01/13  09:00:00,0,73.47322308,410.2586742,0,,0,1,1,0
 01/13  10:00:00,0,9.95262487,369.8983943,7.7692351,,0,0,1,0
 01/13  11:00:00,0,0,383.8129768,72.53229047,,0,0,1,1
 01/13  12:00:00,0,0,260.7773611,125.2111536,,0,0,1,1
 01/13  13:00:00,0,0,213.0970117,230.9465306,,0,0,1,1
 01/13  14:00:00,0,0,102.4373467,258.0867926,,0,0,1,1
 01/13  15:00:00,0,0,54.1036082,375.0235658,,0,0,1,1
 01/13  16:00:00,16.99355702,0,2.109003113,380.8211134,,0,0,0,1
 01/13  17:00:00,47.26928111,0,0,242.8637977,,0,0,0,1
 01/13  18:00:00,20.2637475,0,0,63.29213535,,0,0,0,1
 01/13  19:00:00,0,0,0,0,,0,0,0,0
 01/13  20:00:00,0,0,0,0,,0,0,0,0
 01/13  21:00:00,0,0,0,0,,0,0,0,0
 01/13  22:00:00,0,0,0,0,,0,0,0,0
 01/13  23:00:00,0,0,0,0,,0,0,0,0
 01/13  24:00:00,0,0,0,0,,0,0,0,0
 01/14  01:00:00,0,0,0,0,,0,0,0,0
 01/14  02:00:00,0,0,0,0,,0,0,0,0
 01/14  03:00:00,0,0,0,0,,0,0,0,0
 01/14  04:00:00,0,0,0,0,,0,0,0,0
 01/14  05:00:00,0,0,0,0,,0,0,0,0
 01/14  06:00:00,0,0,0,0,,0,0,0,0
 01/14  07:00:00,0,0,0,0,,0,0,0,0
 01/14  08:00:00,0,3.319061578,11.36373482,0,,0,0,0,0
 01/14  09:00:00,0,7.245560766,38.91031879,0,,0,0,0,0
 01/14  10:00:00,0,0.297364526,3.997553946,0,,0,0,0,0
 01/14  11:00:00,0,0,0,0,,0,0,0,0
 01/14  12:00:00,0,0,0,0,,0,0,0,0
 01/14  13:00:00,0,0,0,0,,0,0,0,0
 01/14  14:00:00,0,0,0,0,,0,0,0,0
 01/14  15:00:00,0,0,0,0,,0,0,0,0
 01/14  16:00:00,0,0,0,0,,0,0,0,0
 01/14  17:00:00,0,0,0,0,,0,0,0,0
 01/14  18:00:00,0,0,0,0,,0,0,0,0
 01/14  19:00:00,0,0,0,0,,0,0,0,0
 01/14  20:00:00,0,0,0,0,,0,0,0,0
 01/14  21:00:00,0,0,0,0,,0,0,0,0
 01/14  22:00:00,0,0,0,0,,0,0,0,0
 01/14  23:00:00,0,0,0,0,,0,0,0,0
 01/14  24:00:00,0,0,0,0,,0,0,0,0
 01/15  01:00:00,0,0,0,0,,0,0,0,0
 01/15  02:00:00,0,0,0,0,,0,0,0,0
 01/15  03:00:00,0,0,0,0,,0,0,0,0
 01/15  04:00:00,0,0,0,0,,0,0,0,0
 01/15  05:00:00,0,0,0,0,,0,0,0,0
 01/15  06:00:00,0,0,0,0,,0,0,0,0
 01/15  07:00:00,0,0,0,0,,0,0,0,0
 01/15  08:00:00,0,49.12467308,163.7109478,0,,0,0,1,0
 01/15  09:00:00,0,92.2587324,527.5183244,0,,0,1,1,0
 01/15  10:00:00,0,16.7627435,628.107387,12.63101723,,0,0,1,0
 01/15  11:00:00,0,0,575.9269748,109.809457,,0,0,1,1
 01/15  12:00:00,0,0,463.0491093,220.8346348,,0,0,1,1
 01/15  13:00:00,0,0,318.8954745,347.0724082,,0,0,1,1
 01/15  14:00:00,0,0,180.9865301,453.7490656,,0,0,1,1
 01/15  15:00:00,0,0,77.97515803,533.2135444,,0,0,1,1
 01/15  16:00:00,19.47205645,0,2.910827199,482.7027761,,0,0,0,1
 01/15  17:00:00,22.61007731,0,0,124.9203304,,0,0,0,1
 01/15  18:00:00,8.063601713,0,0,25.1017544,,0,0,0,0
 01/15  19:00:00,0,0,0,0,,0,0,0,0
 01/15  20:00:00,0,0,0,0,,0,0,0,0
 01/15  21:00:00,0,0,0,0,,0,0,0,0
 01/15  22:00:00,0,0,0,0,,0,0,0,0
 01/15  23:00:00,0,0,0,0,,0,0,0,0
 01/15  24:00:00,0,0,0,0,,0,0,0,0
 01/16  01:00:00,0,0,0,0,,0,0,0,0
 01/16  02:00:00,0,0,0,0,,0,0,0,0
 01/16  03:00:00,0,0,0,0,,0,0,0,0
 01/16  04:00:00,0,0,0,0,,0,0,0,0
 01/16  05:00:00,0,0,0,0,,0,0,0,0
 01/16  06:00:00,0,0,0,0,,0,0,0,0
 01/16  07:00:00,0,0,0,0,,0,0,0,0
 01/16  08:00:00,0,20.95600904,67.57648986,0,,0,0,1,0
 01/16  09:00:00,0,29.7049416,184.770109,0,,0,0,1,0
 01/16  10:00:00,0,11.51349437,473.0132099,9.951000656,,0,0,1,0
 01/16  11:00:00,0,0,416.9548681,77.18579624,,0,0,1,1
 01/16  12:00:00,0,0,202.7917451,93.48791773,,0,0,1,1
 01/16  13:00:00,0,0,109.9209451,122.6284809,,0,0,1,1
 01/16  14:00:00,0,0,108.2466996,280.7742725,,0,0,1,1
 01/16  15:00:00,0,0,63.49711538,427.09543,,0,0,1,1
 01/16  16:00:00,12.99871026,0,1.84741106,293.6731364,,0,0,0,1
 01/16  17:00:00,48.84652745,0,0,247.2213145,,0,0,0,1
 01/16  18:00:00,22.65188496,0,0,70.66024249,,0,0,0,1
 01/16  19:00:00,0,0,0,0,,0,0,0,0
 01/16  20:00:00,0,0,0,0,,0,0,0,0
 01/16  21:00:00,0,0,0,0,,0,0,0,0
 01/16  22:00:00,0,0,0,0,,0,0,0,0
 01/16  23:00:00,0,0,0,0,,0,0,0,0
 01/16  24:00:00,0,0,0,0,,0,0,0,0
 01/17  01:00:00,0,0,0,0,,0,0,0,0
 01/17  02:00:00,0,0,0,0,,0,0,0,0
 01/17  03:00:00,0,0,0,0,,0,0,0,0
 01/17  04:00:00,0,0,0,0,,0,0,0,0
 01/17  05:00:00,0,0,0,0,,0,0,0,0
 01/17  06:00:00,0,0,0,0,,0,0,0,0
 01/17  07:00:00,0,0,0,0,,0,0,0,0
 01/17  08:00:00,0,13.84015854,48.6568557,0,,0,0,0,0
 01/17  09:00:00,0,53.88776152,323.0625983,0,,0,1,1,0
 01/17  10:00:00,0,15.11593522,602.2581666,12.52827113,,0,0,1,0
 01/17  11:00:00,0,0,565.5830172,107.3482036,,0,0,1,1
 01/17  12:00:00,0,0,432.9501379,206.8262759,,0,0,1,1
 01/17  13:00:00,0,0,318.0561218,347.7349271,,0,0,1,1
 01/17  14:00:00,0,0,191.2770203,480.9099814,,0,0,1,1
 01/17  15:00:00,0,0,83.63561474,567.4156826,,0,0,1,1
 01/17  16:00:00,25.57471199,0,2.899160727,539.1645603,,0,0,0,1
 01/17  17:00:00,100.7883334,0,0,509.0493049,,1,0,0,1
 01/17  18:00:00,47.37298125,0,0,147.7332226,,0,0,0,1
 01/17  19:00:00,0,0,0,0,,0,0,0,0
 01/17  20:00:00,0,0,0,0,,0,0,0,0
 01/17  21:00:00,0,0,0,0,,0,0,0,0
 01/17  22:00:00,0,0,0,0,,0,0,0,0
 01/17  23:00:00,0,0,0,0,,0,0,0,0
 01/17  24:00:00,0,0,0,0,,0,0,0,0
 01/18  01:00:00,0,0,0,0,,0,0,0,0
 01/18  02:00:00,0,0,0,0,,0,0,0,0
 01/18  03:00:00,0,0,0,0,,0,0,0,0
 01/18  04:00:00,0,0,0,0,,0,0,0,0
 01/18  05:00:00,0,0,0,0,,0,0,0,0
 01/18  06:00:00,0,0,0,0,,0,0,0,0
 01/18  07:00:00,0,0,0,0,,0,0,0,0
 01/18  08:00:00,0,22.47991162,73.31503099,0,,0,0,1,0
 01/18  09:00:00,0,30.81546129,178.2900664,0,,0,0,1,0
 01/18  10:00:00,0,6.670679567,212.3716576,2.969147217,,0,0,1,0
 01/18  11:00:00,0,0,19.88560199,2.308070018,,0,0,0,0
 01/18  12:00:00,0,0,30.47925018,18.73841367,,0,0,0,0
 01/18  13:00:00,0,0,106.8195047,114.0072476,,0,0,1,1
 01/18  14:00:00,0,0,8.617334816,16.04618022,,0,0,0,0
 01/18  15:00:00,0,0,0,0,,0,0,0,0
 01/18  16:00:00,1.054520136,0,0,11.19265326,,0,0,0,0
 01/18  17:00:00,11.54031008,0,0,56.89091003,,0,0,0,1
 01/18  18:00:00,5.458360852,0,0,17.06381933,,0,0,0,0
