"If incident beam > 100, viewglass no",,,,,,,,
Date/Time,AHU1 WIN NW OFFICE 1:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),AHU2 WIN NE BREAK ROOM:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),AHU3 WIN SE OFFICE 2:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),AHU3 WIN SW OFFICE:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),,,,
 01/04  24:00:00,0,0,0,0,0,0,0,0
 01/05  01:00:00,0,0,0,0,0,0,0,0
 01/05  02:00:00,0,0,0,0,0,0,0,0
 01/05  03:00:00,0,0,0,0,0,0,0,0
 01/05  04:00:00,0,0,0,0,0,0,0,0
 01/05  05:00:00,0,0,0,0,0,0,0,0
 01/05  06:00:00,0,0,0,0,0,0,0,0
 01/05  07:00:00,0,0,0,0,0,0,0,0
 01/05  08:00:00,0,3.470886153,12.20234626,0,0,0,0,0
 01/05  09:00:00,0,19.50029834,126.3462423,0,0,0,1,0
 01/05  10:00:00,0,9.14769337,395.7686709,8.841664679,0,0,1,0
 01/05  11:00:00,0,0,448.8416149,86.61428228,0,0,1,1
 01/05  12:00:00,0,0,398.3891921,190.8043082,0,0,1,1
 01/05  13:00:00,0,0,284.2465579,309.3248139,0,0,1,1
 01/05  14:00:00,0,0,156.8927653,391.7113968,0,0,1,1
 01/05  15:00:00,0,0,61.94582912,414.9714945,0,0,1,1
 01/05  16:00:00,13.18701864,0,1.972909793,317.4029027,0,0,0,1
 01/05  17:00:00,29.80485668,0,0,154.0838522,0,0,0,1
 01/05  18:00:00,13.2826785,0,0,42.33990675,0,0,0,0
 01/05  19:00:00,0,0,0,0,0,0,0,0
 01/05  20:00:00,0,0,0,0,0,0,0,0
 01/05  21:00:00,0,0,0,0,0,0,0,0
 01/05  22:00:00,0,0,0,0,0,0,0,0
 01/05  23:00:00,0,0,0,0,0,0,0,0
 01/05  24:00:00,0,0,0,0,0,0,0,0
 01/06  01:00:00,0,0,0,0,0,0,0,0
 01/06  02:00:00,0,0,0,0,0,0,0,0
 01/06  03:00:00,0,0,0,0,0,0,0,0
 01/06  04:00:00,0,0,0,0,0,0,0,0
 01/06  05:00:00,0,0,0,0,0,0,0,0
 01/06  06:00:00,0,0,0,0,0,0,0,0
 01/06  07:00:00,0,0,0,0,0,0,0,0
 01/06  08:00:00,0,3.080411461,10.8295823,0,0,0,0,0
 01/06  09:00:00,0,17.82883485,116.0873379,0,0,0,1,0
 01/06  10:00:00,0,8.585991529,368.8992484,8.157272084,0,0,1,0
 01/06  11:00:00,0,0,381.7430084,71.93103679,0,0,1,1
 01/06  12:00:00,0,0,241.5690962,113.6408156,0,0,1,1
 01/06  13:00:00,0,0,146.9942394,159.392568,0,0,1,1
 01/06  14:00:00,0,0,81.11152789,202.9650747,0,0,1,1
 01/06  15:00:00,0,0,36.60273969,263.2645944,0,0,0,1
 01/06  16:00:00,20.20814289,0,1.960115115,418.8239497,0,0,0,1
 01/06  17:00:00,67.84355011,0,0,344.5770984,1,0,0,1
 01/06  18:00:00,33.27075546,0,0,103.5255854,0,0,0,1
 01/06  19:00:00,0,0,0,0,0,0,0,0
 01/06  20:00:00,0,0,0,0,0,0,0,0
 01/06  21:00:00,0,0,0,0,0,0,0,0
 01/06  22:00:00,0,0,0,0,0,0,0,0
 01/06  23:00:00,0,0,0,0,0,0,0,0
 01/06  24:00:00,0,0,0,0,0,0,0,0
 01/07  01:00:00,0,0,0,0,0,0,0,0
 01/07  02:00:00,0,0,0,0,0,0,0,0
 01/07  03:00:00,0,0,0,0,0,0,0,0
 01/07  04:00:00,0,0,0,0,0,0,0,0
 01/07  05:00:00,0,0,0,0,0,0,0,0
 01/07  06:00:00,0,0,0,0,0,0,0,0
 01/07  07:00:00,0,0,0,0,0,0,0,0
 01/07  08:00:00,0,2.993639307,10.52452365,0,0,0,0,0
 01/07  09:00:00,0,16.54330608,106.886003,0,0,0,1,0
 01/07  10:00:00,0,7.64316607,327.1036634,7.213002058,0,0,1,0
 01/07  11:00:00,0,0,364.4564805,70.63383502,0,0,1,1
 01/07  12:00:00,0,0,341.1372397,163.293689,0,0,1,1
 01/07  13:00:00,0,0,235.7125011,256.3854064,0,0,1,1
 01/07  14:00:00,0,0,122.3173152,298.0277953,0,0,1,1
 01/07  15:00:00,0,0,24.25327805,145.1938552,0,0,0,1
 01/07  16:00:00,0,0,0.292004247,14.04482009,0,0,0,0
 01/07  17:00:00,0,0,0,0,0,0,0,0
 01/07  18:00:00,0,0,0,0,0,0,0,0
 01/07  19:00:00,0,0,0,0,0,0,0,0
 01/07  20:00:00,0,0,0,0,0,0,0,0
 01/07  21:00:00,0,0,0,0,0,0,0,0
 01/07  22:00:00,0,0,0,0,0,0,0,0
 01/07  23:00:00,0,0,0,0,0,0,0,0
 01/07  24:00:00,0,0,0,0,0,0,0,0
 01/08  01:00:00,0,0,0,0,0,0,0,0
 01/08  02:00:00,0,0,0,0,0,0,0,0
 01/08  03:00:00,0,0,0,0,0,0,0,0
 01/08  04:00:00,0,0,0,0,0,0,0,0
 01/08  05:00:00,0,0,0,0,0,0,0,0
 01/08  06:00:00,0,0,0,0,0,0,0,0
 01/08  07:00:00,0,0,0,0,0,0,0,0
 01/08  08:00:00,0,0.911107615,3.203115893,0,0,0,0,0
 01/08  09:00:00,0,8.602900928,59.54755506,0,0,0,1,0
 01/08  10:00:00,0,5.519095612,247.5647002,5.70080155,0,0,1,0
 01/08  11:00:00,0,0,293.414794,56.30790602,0,0,1,1
 01/08  12:00:00,0,0,230.2548591,108.9089173,0,0,1,1
 01/08  13:00:00,0,0,135.7729072,146.499473,0,0,1,1
 01/08  14:00:00,0,0,68.44702739,169.5580118,0,0,1,1
 01/08  15:00:00,0,0,23.22254569,151.2328238,0,0,0,1
 01/08  16:00:00,2.604862786,0,0.584396855,75.32636864,0,0,0,1
 01/08  17:00:00,1.069270004,0,0,7.236913282,0,0,0,0
 01/08  18:00:00,0,0,0,0,0,0,0,0
 01/08  19:00:00,0,0,0,0,0,0,0,0
 01/08  20:00:00,0,0,0,0,0,0,0,0
 01/08  21:00:00,0,0,0,0,0,0,0,0
 01/08  22:00:00,0,0,0,0,0,0,0,0
 01/08  23:00:00,0,0,0,0,0,0,0,0
 01/08  24:00:00,0,0,0,0,0,0,0,0
 01/09  01:00:00,0,0,0,0,0,0,0,0
 01/09  02:00:00,0,0,0,0,0,0,0,0
 01/09  03:00:00,0,0,0,0,0,0,0,0
 01/09  04:00:00,0,0,0,0,0,0,0,0
 01/09  05:00:00,0,0,0,0,0,0,0,0
 01/09  06:00:00,0,0,0,0,0,0,0,0
 01/09  07:00:00,0,0,0,0,0,0,0,0
 01/09  08:00:00,0,0.173544308,0.610117313,0,0,0,0,0
 01/09  09:00:00,0,6.274993156,46.44915597,0,0,0,0,0
 01/09  10:00:00,0,5.200227982,205.3533657,3.915435818,0,0,1,0
 01/09  11:00:00,0,0,129.7602703,23.82962985,0,0,1,0
 01/09  12:00:00,0,0,77.7380229,36.55647201,0,0,1,0
 01/09  13:00:00,0,0,45.8131859,49.46362842,0,0,0,0
 01/09  14:00:00,0,0,23.10053084,57.29767334,0,0,0,1
 01/09  15:00:00,0,0,8.111062637,53.02847645,0,0,0,1
 01/09  16:00:00,1.318782143,0,0.209301997,31.2337738,0,0,0,0
 01/09  17:00:00,4.106480104,0,0,21.22063997,0,0,0,0
 01/09  18:00:00,0.645571839,0,0,2.152003157,0,0,0,0
 01/09  19:00:00,0,0,0,0,0,0,0,0
 01/09  20:00:00,0,0,0,0,0,0,0,0
 01/09  21:00:00,0,0,0,0,0,0,0,0
 01/09  22:00:00,0,0,0,0,0,0,0,0
 01/09  23:00:00,0,0,0,0,0,0,0,0
 01/09  24:00:00,0,0,0,0,0,0,0,0
 01/10  01:00:00,0,0,0,0,0,0,0,0
 01/10  02:00:00,0,0,0,0,0,0,0,0
 01/10  03:00:00,0,0,0,0,0,0,0,0
 01/10  04:00:00,0,0,0,0,0,0,0,0
 01/10  05:00:00,0,0,0,0,0,0,0,0
 01/10  06:00:00,0,0,0,0,0,0,0,0
 01/10  07:00:00,0,0,0,0,0,0,0,0
 01/10  08:00:00,0,0,0,0,0,0,0,0
 01/10  09:00:00,0,2.382430955,18.03995088,0,0,0,0,0
 01/10  10:00:00,0,2.131989268,91.02948056,1.94631759,0,0,1,0
 01/10  11:00:00,0,0,105.7243578,21.39565604,0,0,1,0
 01/10  12:00:00,0,0,155.0257223,75.32603835,0,0,1,1
 01/10  13:00:00,0,0,122.1906505,133.7706501,0,0,1,1
 01/10  14:00:00,0,0,74.56193622,187.2450391,0,0,1,1
 01/10  15:00:00,0,0,31.69924224,215.0031503,0,0,0,1
 01/10  16:00:00,8.945802567,0,1.108858042,197.8878079,0,0,0,1
 01/10  17:00:00,29.01074309,0,0,147.3854855,0,0,0,1
 01/10  18:00:00,15.09353705,0,0,46.8655643,0,0,0,0
 01/10  19:00:00,0,0,0,0,0,0,0,0
 01/10  20:00:00,0,0,0,0,0,0,0,0
 01/10  21:00:00,0,0,0,0,0,0,0,0
 01/10  22:00:00,0,0,0,0,0,0,0,0
 01/10  23:00:00,0,0,0,0,0,0,0,0
 01/10  24:00:00,0,0,0,0,0,0,0,0
 01/11  01:00:00,0,0,0,0,0,0,0,0
 01/11  02:00:00,0,0,0,0,0,0,0,0
 01/11  03:00:00,0,0,0,0,0,0,0,0
 01/11  04:00:00,0,0,0,0,0,0,0,0
 01/11  05:00:00,0,0,0,0,0,0,0,0
 01/11  06:00:00,0,0,0,0,0,0,0,0
 01/11  07:00:00,0,0,0,0,0,0,0,0
 01/11  08:00:00,0,0,0,0,0,0,0,0
 01/11  09:00:00,0,0.558382255,4.228113487,0,0,0,0,0
 01/11  10:00:00,0,0.499684985,19.16835014,0.346626746,0,0,0,0
 01/11  11:00:00,0,0,17.251447,3.710741307,0,0,0,0
 01/11  12:00:00,0,0,42.82788512,21.25321262,0,0,0,0
 01/11  13:00:00,0,0,41.43691466,45.31317603,0,0,0,0
 01/11  14:00:00,0,0,22.39050198,55.71356851,0,0,0,1
 01/11  15:00:00,0,0,8.6937162,59.10324648,0,0,0,1
 01/11  16:00:00,2.688898914,0,0.319176176,58.81142294,0,0,0,1
 01/11  17:00:00,7.979380179,0,0,41.32984536,0,0,0,0
 01/11  18:00:00,1.245031403,0,0,4.150291802,0,0,0,0
 01/11  19:00:00,0,0,0,0,0,0,0,0
 01/11  20:00:00,0,0,0,0,0,0,0,0
 01/11  21:00:00,0,0,0,0,0,0,0,0
 01/11  22:00:00,0,0,0,0,0,0,0,0
 01/11  23:00:00,0,0,0,0,0,0,0,0
 01/11  24:00:00,0,0,0,0,0,0,0,0
 01/12  01:00:00,0,0,0,0,0,0,0,0
 01/12  02:00:00,0,0,0,0,0,0,0,0
 01/12  03:00:00,0,0,0,0,0,0,0,0
 01/12  04:00:00,0,0,0,0,0,0,0,0
 01/12  05:00:00,0,0,0,0,0,0,0,0
 01/12  06:00:00,0,0,0,0,0,0,0,0
 01/12  07:00:00,0,0,0,0,0,0,0,0
 01/12  08:00:00,0,1.041265846,3.660703877,0,0,0,0,0
 01/12  09:00:00,0,10.10310101,70.10800376,0,0,0,1,0
 01/12  10:00:00,0,6.550241978,287.9145289,6.46480757,0,0,1,0
 01/12  11:00:00,0,0,302.4922906,56.75815872,0,0,1,1
 01/12  12:00:00,0,0,170.1243388,78.82067751,0,0,1,1
 01/12  13:00:00,0,0,78.06711199,83.15760847,0,0,1,1
 01/12  14:00:00,0,0,34.43860689,84.98515227,0,0,0,1
 01/12  15:00:00,0,0,11.72345504,77.12209768,0,0,0,1
 01/12  16:00:00,2.158338039,0,0.327955159,51.08339022,0,0,0,1
 01/12  17:00:00,5.85169744,0,0,30.45041852,0,0,0,0
 01/12  18:00:00,0.899189347,0,0,2.997432968,0,0,0,0
 01/12  19:00:00,0,0,0,0,0,0,0,0
 01/12  20:00:00,0,0,0,0,0,0,0,0
 01/12  21:00:00,0,0,0,0,0,0,0,0
 01/12  22:00:00,0,0,0,0,0,0,0,0
 01/12  23:00:00,0,0,0,0,0,0,0,0
 01/12  24:00:00,0,0,0,0,0,0,0,0
 01/13  01:00:00,0,0,0,0,0,0,0,0
 01/13  02:00:00,0,0,0,0,0,0,0,0
 01/13  03:00:00,0,0,0,0,0,0,0,0
 01/13  04:00:00,0,0,0,0,0,0,0,0
 01/13  05:00:00,0,0,0,0,0,0,0,0
 01/13  06:00:00,0,0,0,0,0,0,0,0
 01/13  07:00:00,0,0,0,0,0,0,0,0
 01/13  08:00:00,0,0,0,0,0,0,0,0
 01/13  09:00:00,0,0,0,0,0,0,0,0
 01/13  10:00:00,0,0,0,0,0,0,0,0
 01/13  11:00:00,0,0,5.04423567,1.308436329,0,0,0,0
 01/13  12:00:00,0,0,27.94379086,14.32939997,0,0,0,0
 01/13  13:00:00,0,0,40.95165852,45.98952593,0,0,0,0
 01/13  14:00:00,0,0,32.33155397,81.84347319,0,0,0,1
 01/13  15:00:00,0,0,14.67535352,100.6954285,0,0,0,1
 01/13  16:00:00,5.564256398,0,0.560589454,112.5676971,0,0,0,1
 01/13  17:00:00,24.75587595,0,0,123.6973589,0,0,0,1
 01/13  18:00:00,15.39514541,0,0,47.60155722,0,0,0,0
 01/13  19:00:00,0,0,0,0,0,0,0,0
 01/13  20:00:00,0,0,0,0,0,0,0,0
 01/13  21:00:00,0,0,0,0,0,0,0,0
 01/13  22:00:00,0,0,0,0,0,0,0,0
 01/13  23:00:00,0,0,0,0,0,0,0,0
 01/13  24:00:00,0,0,0,0,0,0,0,0
 01/14  01:00:00,0,0,0,0,0,0,0,0
 01/14  02:00:00,0,0,0,0,0,0,0,0
 01/14  03:00:00,0,0,0,0,0,0,0,0
 01/14  04:00:00,0,0,0,0,0,0,0,0
 01/14  05:00:00,0,0,0,0,0,0,0,0
 01/14  06:00:00,0,0,0,0,0,0,0,0
 01/14  07:00:00,0,0,0,0,0,0,0,0
 01/14  08:00:00,0,0,0,0,0,0,0,0
 01/14  09:00:00,0,2.438269181,18.46276223,0,0,0,0,0
 01/14  10:00:00,0,2.181957767,100.3894233,2.357282759,0,0,1,0
 01/14  11:00:00,0,0,147.975936,30.05031612,0,0,1,0
 01/14  12:00:00,0,0,206.8512113,99.74496883,0,0,1,1
 01/14  13:00:00,0,0,142.8155656,155.1669767,0,0,1,1
 01/14  14:00:00,0,0,79.53158746,198.7342441,0,0,1,1
 01/14  15:00:00,0,0,31.57670518,211.5543308,0,0,0,1
 01/14  16:00:00,6.429787477,0,1.005560818,158.6577212,0,0,0,1
 01/14  17:00:00,10.78823924,0,0,57.99317228,0,0,0,1
 01/14  18:00:00,1.475592774,0,0,4.918864358,0,0,0,0
 01/14  19:00:00,0,0,0,0,0,0,0,0
 01/14  20:00:00,0,0,0,0,0,0,0,0
 01/14  21:00:00,0,0,0,0,0,0,0,0
 01/14  22:00:00,0,0,0,0,0,0,0,0
 01/14  23:00:00,0,0,0,0,0,0,0,0
 01/14  24:00:00,0,0,0,0,0,0,0,0
 01/15  01:00:00,0,0,0,0,0,0,0,0
 01/15  02:00:00,0,0,0,0,0,0,0,0
 01/15  03:00:00,0,0,0,0,0,0,0,0
 01/15  04:00:00,0,0,0,0,0,0,0,0
 01/15  05:00:00,0,0,0,0,0,0,0,0
 01/15  06:00:00,0,0,0,0,0,0,0,0
 01/15  07:00:00,0,0,0,0,0,0,0,0
 01/15  08:00:00,0,0,0,0,0,0,0,0
 01/15  09:00:00,0,1.805435958,13.67090028,0,0,0,0,0
 01/15  10:00:00,0,1.615648117,86.63244807,2.367235954,0,0,1,0
 01/15  11:00:00,0,0,156.8160923,30.82384921,0,0,1,0
 01/15  12:00:00,0,0,146.850918,69.65657193,0,0,1,1
 01/15  13:00:00,0,0,84.92277741,91.58231256,0,0,1,1
 01/15  14:00:00,0,0,44.27738852,110.4513544,0,0,0,1
 01/15  15:00:00,0,0,16.833551,109.5046296,0,0,0,1
 01/15  16:00:00,2.238178337,0,0.389290233,53.5245646,0,0,0,1
 01/15  17:00:00,8.733478235,0,0,44.42116204,0,0,0,0
 01/15  18:00:00,2.728241135,0,0,8.663485367,0,0,0,0
 01/15  19:00:00,0,0,0,0,0,0,0,0
 01/15  20:00:00,0,0,0,0,0,0,0,0
 01/15  21:00:00,0,0,0,0,0,0,0,0
 01/15  22:00:00,0,0,0,0,0,0,0,0
 01/15  23:00:00,0,0,0,0,0,0,0,0
 01/15  24:00:00,0,0,0,0,0,0,0,0
 01/16  01:00:00,0,0,0,0,0,0,0,0
 01/16  02:00:00,0,0,0,0,0,0,0,0
 01/16  03:00:00,0,0,0,0,0,0,0,0
 01/16  04:00:00,0,0,0,0,0,0,0,0
 01/16  05:00:00,0,0,0,0,0,0,0,0
 01/16  06:00:00,0,0,0,0,0,0,0,0
 01/16  07:00:00,0,0,0,0,0,0,0,0
 01/16  08:00:00,0,0,0,0,0,0,0,0
 01/16  09:00:00,0,0,0,0,0,0,0,0
 01/16  10:00:00,0,0,0,0,0,0,0,0
 01/16  11:00:00,0,0,0,0,0,0,0,0
 01/16  12:00:00,0,0,0,0,0,0,0,0
 01/16  13:00:00,0,0,0.510429873,0.71775232,0,0,0,0
 01/16  14:00:00,0,0,3.548060517,10.36772806,0,0,0,0
 01/16  15:00:00,0,0,5.126943387,33.80315582,0,0,0,0
 01/16  16:00:00,0,0,8.64E-02,4.156762896,0,0,0,0
 01/16  17:00:00,0,0,0,0,0,0,0,0
 01/16  18:00:00,0,0,0,0,0,0,0,0
 01/16  19:00:00,0,0,0,0,0,0,0,0
 01/16  20:00:00,0,0,0,0,0,0,0,0
 01/16  21:00:00,0,0,0,0,0,0,0,0
 01/16  22:00:00,0,0,0,0,0,0,0,0
 01/16  23:00:00,0,0,0,0,0,0,0,0
 01/16  24:00:00,0,0,0,0,0,0,0,0
 01/17  01:00:00,0,0,0,0,0,0,0,0
 01/17  02:00:00,0,0,0,0,0,0,0,0
 01/17  03:00:00,0,0,0,0,0,0,0,0
 01/17  04:00:00,0,0,0,0,0,0,0,0
 01/17  05:00:00,0,0,0,0,0,0,0,0
 01/17  06:00:00,0,0,0,0,0,0,0,0
 01/17  07:00:00,0,0,0,0,0,0,0,0
 01/17  08:00:00,0,3.817974768,13.42258088,0,0,0,0,0
 01/17  09:00:00,0,20.45454649,131.4407309,0,0,0,1,0
 01/17  10:00:00,0,9.171357817,399.5366152,9.025506249,0,0,1,0
 01/17  11:00:00,0,0,461.2977069,88.71353226,0,0,1,1
 01/17  12:00:00,0,0,384.1427822,183.1411202,0,0,1,1
 01/17  13:00:00,0,0,258.01713,279.8433677,0,0,1,1
 01/17  14:00:00,0,0,135.761758,337.7134006,0,0,1,1
 01/17  15:00:00,0,0,48.02809576,305.5339121,0,0,0,1
 01/17  16:00:00,3.215079497,0,0.834438953,84.91660802,0,0,0,1
 01/17  17:00:00,22.21808907,0,0,108.7542347,0,0,0,1
 01/17  18:00:00,18.22896643,0,0,56.02428143,0,0,0,1
 01/17  19:00:00,0,0,0,0,0,0,0,0
 01/17  20:00:00,0,0,0,0,0,0,0,0
 01/17  21:00:00,0,0,0,0,0,0,0,0
 01/17  22:00:00,0,0,0,0,0,0,0,0
 01/17  23:00:00,0,0,0,0,0,0,0,0
 01/17  24:00:00,0,0,0,0,0,0,0,0
 01/18  01:00:00,0,0,0,0,0,0,0,0
 01/18  02:00:00,0,0,0,0,0,0,0,0
 01/18  03:00:00,0,0,0,0,0,0,0,0
 01/18  04:00:00,0,0,0,0,0,0,0,0
 01/18  05:00:00,0,0,0,0,0,0,0,0
 01/18  06:00:00,0,0,0,0,0,0,0,0
 01/18  07:00:00,0,0,0,0,0,0,0,0
 01/18  08:00:00,0,2.646550692,9.304289021,0,0,0,0,0
 01/18  09:00:00,0,14.58396988,94.18091019,0,0,0,1,0
 01/18  10:00:00,0,6.72006865,264.5381888,5.176971066,0,0,1,0
 01/18  11:00:00,0,0,187.5204136,34.51961944,0,0,1,0
 01/18  12:00:00,0,0,109.3365408,52.11329495,0,0,1,1
 01/18  13:00:00,0,0,90.79566383,100.5682711,0,0,1,1
 01/18  14:00:00,0,0,64.67502115,163.3457201,0,0,1,1
 01/18  15:00:00,0,0,32.32798579,238.5131357,0,0,0,1
 01/18  16:00:00,19.7698851,0,1.987345947,422.2637553,0,0,0,1
 01/18  17:00:00,53.03663535,0,0,272.7337922,1,0,0,1
 01/18  18:00:00,24.05632811,0,0,74.96475167,0,0,0,1
 01/18  19:00:00,0,0,0,0,0,0,0,0
 01/18  20:00:00,0,0,0,0,0,0,0,0
 01/18  21:00:00,0,0,0,0,0,0,0,0
 01/18  22:00:00,0,0,0,0,0,0,0,0
 01/18  23:00:00,0,0,0,0,0,0,0,0
 01/18  24:00:00,0,0,0,0,0,0,0,0
 01/19  01:00:00,0,0,0,0,0,0,0,0
 01/19  02:00:00,0,0,0,0,0,0,0,0
 01/19  03:00:00,0,0,0,0,0,0,0,0
 01/19  04:00:00,0,0,0,0,0,0,0,0
 01/19  05:00:00,0,0,0,0,0,0,0,0
 01/19  06:00:00,0,0,0,0,0,0,0,0
 01/19  07:00:00,0,0,0,0,0,0,0,0
 01/19  08:00:00,0,5.987278614,21.04904729,0,0,0,0,0
 01/19  09:00:00,0,27.83781896,174.0277392,0,0,0,1,0
